                         CADASTRO DE PRODUTOS DA POF 2008-2009;;;;;;;;
;;;;;;;;
( CÓDIGO = 3 DÍGITOS + 2 DÍGITOS REFERENTE AO SEQUENCIAL DO CÓDIGO );;;;;;;;
(GRUPO = 2 DÍGITOS APENAS PARA CÓDIGOS DA CADERNETA DE DESPESA COLETIVA - POF3) ;;;;;;;;
;;;;;;;;
;;;;;;;;
QUADRO;GRUPO;Quadro_2dig_txt;CÓDIGO;codigo_txt;Complete_item_code;PRODUTO;;
06;06;06;00101;00101;X0600101;AGUA E ESGOTO (M3);;
06;06;06;00201;00201;X0600201;ENERGIA ELETRICA (KWH);;
06;06;06;00301;00301;X0600301;GAS ENCANADO (M3);;
06;06;06;00401;00401;X0600401;TELEFONE RESIDENCIAL;;
06;06;06;00501;00501;X0600501;ACESSO A INTERNET (PROVEDOR, A CABO, COMUNICACAO VIA SATELITE, ETC.);;
06;06;06;00502;00502;X0600502;INTERNET BANDA LARGA;;
06;06;06;00503;00503;X0600503;PROVEDOR DE ACESSO A INTERNET DISCADA;;
06;06;06;00504;00504;X0600504;INTERNET SEM FIO;;
06;06;06;00505;00505;X0600505;INTERNET VIA SATELITE;;
06;06;06;00506;00506;X0600506;INTERNET VIA RADIO;;
06;06;06;00701;00701;X0600701;TV POR ASSINATURA (MENSALIDADE/PACOTE);;
06;06;06;00801;00801;X0600801;TELEFONE FIXO, CELULAR E INTERNET (PACOTE);;
06;06;06;00901;00901;X0600901;TELEFONE FIXO E INTERNET (PACOTE);;
06;06;06;01001;01001;X0601001;TV POR ASSINATURA E INTERNET (PACOTE);;
06;06;06;01101;01101;X0601101;TELEFONE FIXO E CELULAR (PACOTE);;
06;06;06;01201;01201;X0601201;TELEFONE VIRTUAL - MENSAGEM (MENSALIDADE, ASSINATURA, ALUGUEL);;
06;06;06;01202;01202;X0601202;PAGERS (MENSALIDADE, ASSINATURA, ALUGUEL);;
06;06;06;01203;01203;X0601203;MOBI (MENSALIDADE, ASSINATURA, ALUGUEL);;
06;06;06;01204;01204;X0601204;BIP (MENSALIDADE, ASSINATURA, ALUGUEL);;
06;06;06;01301;01301;X0601301;INTERNET E CELULAR (PACOTE);;
06;06;06;01401;01401;X0601401;TELEFONE FIXO, INTERNET E TV POR ASSINATURA (PACOTE);;
06;06;06;01501;01501;X0601501;TELEFONE FIXO E TV POR ASSINATURA (PACOTE);;
06;06;06;99901;99901;X0699901;AGREGADO;;
07;07;07;00101;00101;X0700101;GAS DE BOTIJAO (COMBUSTIVEL DOMESTICO);;
07;07;07;00102;00102;X0700102;GAS DE BOTIJAO (KG) (COMBUSTIVEL DOMESTICO);;
07;07;07;00103;00103;X0700103;GAS DE BUJAO (COMBUSTIVEL DOMESTICO);;
07;07;07;00104;00104;X0700104;GAS DE BUJAO (KG) (COMBUSTIVEL DOMESTICO);;
07;07;07;00201;00201;X0700201;AGUA PARA USO GERAL;;
07;07;07;00202;00202;X0700202;AQUISICAO DE AGUA (USO GERAL) (LITROS);;
07;07;07;00203;00203;X0700203;PIPA DE AGUA (LITROS);;
07;07;07;00204;00204;X0700204;GARRAFAO DE AGUA (LITROS);;
07;07;07;00301;00301;X0700301;RECARGA DE BATERIA (ILUMINACAO DOMICILIAR);;
07;07;07;00401;00401;X0700401;GAS DE BUJAO PARA ILUMINACAO;;
07;07;07;00402;00402;X0700402;GAS DE BUJAO (KG) (PARA ILUMINACAO);;
