Code;Label
0A;FOOD – BEVERAGES AND TOBACCO               
1;FOOD – BEVERAGES AND TOBACCO               
01;CEREALS AND CEREAL-BASED PRODUCTS                
011;Unprocessed cereals (in seeds)                
0111;Durum wheat                  
0112;Tender wheat                  
0113;Barley                   
0114;Maize (corn)                  
0115;Rice                   
0116;Rye                   
0117;Sorghum (big-grained millet)                 
0118;Unprocessed cereals nec                 
0119;Unprocessed cereals nos                 
012;Purchased bread (round and long bread)              
0121;Durum wheat bread                 
0122;Tender wheat bread                 
0123;Barley bread                  
0124;Maize bread                  
0125;Rye-bread                   
0128;Bread nec                  
0129;Bread nos                  
013;Flour                   
0131;Durum wheat flour                 
0132;Tender wheat first quality flour               
0133;Tender wheat domestic flour                
0134;Barley flour                  
0135;Maize flour                  
0136;Sorghum flour                  
0137;Rye flour                  
0138;Flour nec (rice flour…)                
0139;Flour nos                  
014;Semolina                   
0141;Hard wheat semolina                 
0142;Tender wheat semolina                 
0143;Barley semolina (tchicha)                 
0144;Maize semolina                  
0145;Rye semolina                  
0148;Semolina nec                  
0149;Semolina nos                  
015;Couscous                   
0151;Durum wheat couscous                 
0152;Tender wheat couscous                 
0153;Barley couscous                  
0154;Maize couscous                  
0158;Couscous nec                  
0159;Couscous nos                  
016;Food pasta                  
0161;Noodle and vermicelli                 
0162;Spaghetti                   
0163;Macaroni                   
0164;M’hamssa                   
0168;Food pasta nec (tagliatelle…)                
0169;Food pasta nos                 
017;Other cereal products                 
0171;Rusks (including toasted bread)                
0172;Biscuits and other dry cookies (including butter cookies, wafers…)           
0173;Croissants, brioches and assimilated products (bread rolls, chocolat filled rolls, currant buns…)        
0174;Fresh pastry (cream cakes, pies, mille-feuilles…)              
0175;Donuts                   
0176;Chebbakia and assimilated products (briouats, bastilla, mehhancha…)             
0177;Pancakes (rghaïf, baghrir…) and assimilated products              
0178;Cornflakes and assimilated breakfast products               
0179;Other cereal products (sfouf, zemita, sellou…)              
018;Cereal products for infants and babies (under 2)            
0181;Lacteal flour                  
0182;Non lacteal flour                 
0183;Dietetic food and infant/baby food               
0188;Flour for infants and babies nec              
0189;Cereal products for infants and babies nos             
019;Pastry based dishes                 
0191;Pizza                   
0192;Pancakes                   
0199;Other pastry-based dishes mixed with other products             
02;MILK, DAIRY PRODUCTS AND EGGS               
021;Fresh unprocessed bulk milk                
0211;Fresh cow milk                 
0212;Fresh goat milk                 
0213;Fresh ewe milk                 
0214;Fresh she-camel milk                 
0215;Fresh milk nec                 
0216;Fresh milk nos                 
022;Long shelf life pasteurized milk               
0221;Pasteurized milk                  
0222;Long shelf life pasteurized milk               
023;Condensed milk                  
0231;Sweet condensed milk                 
0232;Unsweetened condensed milk                 
0239;Condensed milk nos                 
024;Powder milk (excluding special baby milks)              
0241;Sweet powder milk                 
0242;Unsweetened powder milk nos                
025;Whey                   
0251;Packed whey                  
0252;Bulk whey                  
0258;Whey nec                  
0259;Whey nos                  
026;Cheese                   
0261;Melted cheeses spread (La vache qui rit, Kiri, La belle vache…)         
0262;Semi-hard cheeses (gruyère, babybel…)                
0263;White or soft cheeses –goat cheese, jbene…             
0269;Cheese nos                  
027;Other dairy products                 
0271;Cottage cheese                  
0272;Yogurts and raibi                 
0273;Fresh cream, Chantilly cream, custard creeam              
0279;Other dairy products (milk chocolate…)               
028;Milk and dairy products for infants and babies (under 2)          
0281;Milk and dairy products for infants and babies (special milks for babies)        
029;Eggs                   
0291;Fresh chicken eggs                 
0292;Fresh other birds eggs                
0293;Baked eggs bought outside and consumed at home            
0299;Eggs nos                  
03;BODY FAT                  
031;Butter                   
0311;Natural butter (zebda beldia)                
0312;Pasteurized animal butter                 
0313;Smen (off butter)                 
0314;Vegetal butter (astra, margarine, rama, familia, prairie…)             
0319;Butter nos                  
032;Edible oil                  
0321;Packed edible oil                 
0322;Bulk edible oil                 
0323;Packed olive oil                 
0324;Bulk olive oil                 
0325;Argane oil                  
0328;Oil nec                  
0329;Oil nos                  
033;Other body fat                 
0331;Animal fat                  
0339;Other body fat                 
04;MEATS AND POULTRIES                 
041;Beef and veal meat (including ground meat)             
0411;Deboned beef meat                 
0412;Ground beef meat                 
0413;Boned beef meat                 
0414;Frozen beef meat                 
0415;Beef meat nos                 
042;Lamb or sheep meat (including ground meat)             
0421;Sheep or lamb meat                
0422;Ground sheep meat                 
0429;Sheep meat nos                 
043;Other butchery meats (including ground meat)              
0431;Goat meat                  
0432;Camel meat                  
0433;Horse meat                  
0434;Camel ground meat                 
0435;Horse ground meat                 
0436;Meat products prepared outside and consumed at home            
0438;Other animals meat and ground meat              
0439;Meat and ground meat nos               
044;Live animals                  
0441;Live beefs and veals                
0442;Live sheep                  
0443;Live goats                  
0444;Live animals bought at Eid El Adha             
0449;Other live animals (swine…) nos               
045;Tripes                   
0451;Heads                   
0452;Legs                   
0453;Heart and liver                 
0454;Brain                   
0455;Tripes                   
0456;Offal and giblets                 
0459;Other offal and giblets (spleen, kidney, tongue…)             
046;Baked meats                  
0461;Fresh sausages, cooked or smoked               
0462;Immediately consumable dried or baked sausages (mortadella…)             
0463;Dried meats (kadid)                 
0464;Pork ham                  
0465;Canned meat                  
0466;Khalii (cured meat)                 
0468;Dried and canned meats nec               
0469;Dried and canned meats nos               
047;Poultry, rabbit and game raw meats (including frozen)            
0471;Featherless commercial-bred retailed chicken                
0472;Farm-bred chicken                  
0473;Other poultry (pigeons, turkeys, ducks…)               
0474;Rabbits                   
0475;Game (hares, partridges…)                 
0476;Roasted chicken bought outside and consumed at home            
0477;Chicken pieces (liver, legs…)                
048;Live poultry, rabbit and game               
0481;Live industrial chicken                 
0482;Live farm chicken                 
0483;Other live poultry (pigeons, turkeys, ducks)              
0484;Live rabbits                  
0485;Live game (hares, partridges, wild boars, hedges…)             
049;Other edible animals                 
0491;Snails                   
0499;Other edible animals                 
05;FISH                   
051;Fresh fish                  
0511;Sardines                   
0512;Horse mackerel                  
0513;Red sea bream                 
0514;Whiting and hake                 
0515;Anchovies                   
0516;Tuna                   
0517;Sole                   
0518;Fish nec (mackerel, fresh fish eggs…)              
0519;Fish nos                  
052;Fresh crustaceans and aquatic invertebrates (or seafood)             
0521;Crustaceans (shrimps, crayfish, lobster)                
0522;Aquatic invertebrates (mussels and oysters)               
0523;Crustaceans and invertebrates mix                
053;Canned fish                  
0531;Canned sardines (oil, tomato…)                
0532;Canned tuna (oil, tomato…)                
0533;Other canned fish                 
0534;Canned invertebrates and crustaceans                
0535;Salted, dried or smoked fish               
0539;Canned fish s.a.i                 
054;Frozen or deep-frozen fish                
0541;Horse mackerel                  
0542;Red sea bream                 
0543;Whiting and hake                 
0545;Anchovies                   
0546;Crustaceans (shrimps, crayfish, lobster…)                
0547;Invertebrates                   
0548;Other frozen or deep-frozen fish               
0549;Frozen or deep-frozen fish nos               
055;Take away fish                 
0551;Take away fish                 
0552;Take away fish dishes                
06;FRESH VEGETABLES                  
061;Fresh leguminous vegetables                 
0611;Fresh broad beans                 
0612;Fresh peas                  
0613;Fresh French or string beans               
0619;Other fresh leguminous vegetables                
062;Tomato                   
0621;Tomato                   
063;Potato                   
0631;Potato                   
064;Edible roots and tubers (excluding potaoes)              
0641;Sweet potatoes                  
0642;Kasbias                   
0643;Radish                   
0644;Onions                   
0645;Carrots                   
0646;Turnips                   
0647;Red beetroot                  
0649;Other edible roots and tubers               
065;Vegetables and culinary herbs                
0651;Leeks                   
0652;Parsley and coriander                 
0653;Celery                   
0654;Beet                   
0655;Mallow                   
0656;Cabbage and cauliflower                 
0657;Sedge                   
0658;Artichoke and chards                 
0659;Other vegetable and culinary herbs (asparagus, spinach…)             
066;Vegetables cultivated for their fruit               
0661;Eggplant                   
0662;Quince                   
